Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM,GPU,Operating System,Operating System Version,Weight,HDD,SSD,Hybrid,FS,Price_ln
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8.0,Nvidia GeForce GTX 1050,Windows,10,2.5,1,128,0,0,15.99966205373264
HP,255 G6,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4.0,AMD Radeon R2,No OS,10,1.86,500,0,0,0,14.645866860005704
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,1.62,0,256,0,0,15.800991358937157
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Intel HD Graphics 620,Windows,10,1.91,0,256,0,0,15.583630809586595
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,Windows,10,2.3,1,0,0,0,15.12991863714804
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8.0,Intel HD Graphics 6000,Mac OS,X,1.35,0,0,0,128,16.09506322948771
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,AMD Radeon 530,Windows,10,2.2,0,256,0,0,15.777519002752015
Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8.0,Intel UHD Graphics 620,Windows,10,1.88,0,512,0,0,16.261487172348122
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Nvidia GeForce 930MX,Windows,10,2.5,1,0,0,0,15.890847688059017
Chuwi,"LapBook 15.6""",Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4.0,Intel HD Graphics,Windows,10,1.89,0,0,0,64,14.594124668469275
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2.0,AMD Radeon R2,Windows,10,1.65,0,0,0,32,14.38621209980858
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4.0,AMD Radeon 530,Windows,10,2.71,500,0,0,0,15.177406688159259
Dell,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16.0,Intel UHD Graphics 620,Windows,10,1.2,0,512,0,0,16.62606608253965
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8.0,Intel HD Graphics 6000,Mac OS,X,1.35,0,0,0,256,15.99866055139555
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4.0,Intel HD Graphics 500,Windows,10,1.44,0,0,0,64,14.610360171548795
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4.0,Intel HD Graphics 620,Linux,10,2.1,1,0,0,0,14.998269123138657
Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,AMD Radeon 530,Windows,10,2.8,1,128,0,0,15.979438917614598
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4.0,Intel HD Graphics 620,Windows,10,1.86,1,0,0,0,15.284635616699436
HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Nvidia GeForce 930MX ,Windows,10,2.1,0,256,0,0,15.871692172769265
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 620,Linux,10,2.0,1,0,0,0,15.056486618702534
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1060,Windows,10,2.65,1,256,0,0,16.405460773186686
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8.0,Nvidia GeForce 940MX,Linux,10,2.3,1,0,0,0,15.352469618507321
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4.0,Intel UHD Graphics 620,Windows,10,2.2,0,256,0,0,15.617936932927549
Dell,Inspiron 7773,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12.0,Nvidia GeForce 150MX,Windows,10,2.77,1,0,0,0,15.99966205373264
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8.0,Intel Iris Graphics 540,macOS,10,1.37,0,256,0,0,16.35061495224413
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,No OS,10,2.2,0,128,0,0,15.003703919124614
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8.0,AMD Radeon RX 580,Windows,10,3.2,1,256,0,0,16.262257291754686
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4.0,AMD Radeon R5 M430,Windows,10,2.3,0,256,0,0,15.552811729461622
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4.0,Nvidia GeForce 920MX,Windows,10,2.8,1,0,0,0,15.237092909209734
Lenovo,Yoga Book,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4.0,Intel HD Graphics 400,Android,10,0.69,0,0,0,64,14.858098377868933
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Nvidia GeForce MX150,Windows,10,2.2,0,256,0,0,15.827498935057035
HP,255 G6,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4.0,AMD Radeon R4 Graphics,Windows,10,1.86,0,256,0,0,15.080589678896608
HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows,10,1.49,0,512,0,0,16.09869629433759
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4.0,Intel HD Graphics 620,Windows,10,2.4,1,0,0,0,15.043549827671814
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,AMD Radeon 520,Windows,10,2.13,0,256,0,0,15.736436557650784
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,Windows,10,1.91,0,128,0,0,15.177406688159259
Asus,VivoBook Max,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4.0,Intel HD Graphics 620,Windows,10,2.0,0,256,0,0,15.466551244191148
MSI,GS73VR 7RG,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1070,Windows,10,2.43,2,256,0,0,16.896342332036255
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,Linux,10,2.0,0,256,0,0,15.121185795314785
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16.0,AMD Radeon 530,Windows,10,2.8,2,256,0,0,16.262257291754686
Dell,Vostro 5471,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,1.7,0,256,0,0,15.871692172769265
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8.0,Intel HD Graphics 620,No OS,10,1.7,0,256,0,0,15.488168873199536
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,1.4,0,256,0,0,15.939850414669467
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,Windows,10,1.86,0,256,0,0,15.629598872675393
Asus,ZenBook Pro,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1050 Ti,Windows,10,1.8,0,512,0,0,16.685273403603883
HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4.0,AMD Radeon 520,Windows,10,1.86,500,0,0,0,15.176700288375985
HP,Stream 14-AX040wm,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4.0,Intel HD Graphics 400,Windows,10,1.44,0,32,0,0,14.526629278638326
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4.0,Intel HD Graphics 620,Windows,10,1.9,1,0,0,0,15.401005716593618
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12.0,Nvidia GeForce GTX 1050 Ti,Linux,10,3.0,1,0,0,0,15.948316073694015
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4.0,Intel HD Graphics 620,Windows,10 S,1.252,0,128,0,0,16.085922398017047
Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,AMD Radeon 530,Windows,10,1.4,0,256,0,0,15.954618615564817
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,AMD Radeon 530,Windows,10,2.2,0,256,0,0,15.861400486732716
MSI,GL72M 7RDX,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8.0,Nvidia GeForce GTX 1050,Windows,10,2.7,1,128,0,0,16.091416917334687
Acer,Aspire E5-475,Notebook,14.0,1366x768,Intel Core i3 6006U 2GHz,8.0,Intel HD Graphics 520,Windows,10,2.1,1,0,0,0,15.056486618702534
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8.0,Nvidia GeForce GTX 1050,Windows,10,2.2,1,0,0,0,15.948316073694015
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,No OS,10,2.2,2,0,0,0,15.344811158249977
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows,10,2.02,1,128,0,0,15.844008744020847
Acer,Aspire A515-51G-32MX,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4.0,Nvidia GeForce MX130,Windows,10,2.2,1,0,0,0,15.365784281630255
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Nvidia GeForce 930MX,Windows,10,2.5,1,128,0,0,15.97739392712687
Dell,Latitude 5590,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,1.88,0,256,0,0,16.092475717338676
Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8.0,Intel HD Graphics 615,macOS,10,0.92,0,512,0,0,16.412772204893056
HP,ProBook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel HD Graphics 620,Windows,10,1.63,0,256,0,0,15.849839664331641
Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4.0,AMD R4 Graphics,Windows,10,2.2,0,128,0,0,15.08186869197395
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4.0,AMD Radeon R5,Windows,10,2.1,1,0,0,0,15.07179303998521
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1050 Ti,Windows,10,2.65,1,128,0,0,16.300026131291844
HP,Pavilion 15-CK000nv,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Nvidia GeForce GTX 940MX,Windows,10,1.83,0,256,0,0,15.642558017317898
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,Windows,10,1.96,0,256,0,0,15.488152178569363
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1060,Windows,10,2.2,1,128,0,0,16.37153621740477
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows,10,1.21,0,256,0,0,16.500831597643685
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,8.0,AMD Radeon RX 560,Windows,10,2.45,1,0,0,0,15.642558017317898
Acer,Aspire 5,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Nvidia GeForce MX150,Windows,10,2.2,1,0,0,0,15.628148546097746
HP,Probook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16.0,Intel UHD Graphics 620,Windows,10,1.49,0,512,0,0,16.18048098064206
Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8.0,Nvidia GeForce GTX 1060,Windows,10,2.65,0,256,0,0,16.1788087394497
Asus,Zenbook UX430UA,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,Intel HD Graphics 620,Windows,10,1.25,0,256,0,0,16.048499883480385
Acer,Spin 5,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,1.5,0,256,0,0,15.834607969736142
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,AMD Radeon R5 M430,Linux,10,2.2,1,0,0,0,15.489670249743135
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,AMD Radeon R5 M430,Linux,10,2.2,0,256,0,0,15.27705616602157
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6.0,Nvidia GeForce 920M,Windows,10,2.0,0,256,0,0,15.450749541592186
HP,Omen 15-ce007nv,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12.0,Nvidia GeForce GTX 1050,Windows,10,2.62,1,128,0,0,16.223005785209665
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,AMD Radeon 530,Windows,10,1.91,0,256,0,0,15.670768632805133
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4.0,AMD Radeon R2,Windows,10,2.1,500,0,0,0,14.947979197286514
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,AMD Radeon 520,Linux,10,2.2,1,0,0,0,15.565253569584987
HP,Envy 13-ad009n,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,Nvidia GeForce MX150,Windows,10,1.38,0,256,0,0,16.113097983396013
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,Windows,10 S,1.252,0,256,0,0,16.293332168029043
HP,Pavilion 14-BK001nv,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6.0,Nvidia GeForce 940MX,Windows,10,1.58,0,256,0,0,15.583630809586595
Lenovo,Ideapad 310-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,Windows,10,1.85,1,0,0,0,15.12094480242291
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,Nvidia GeForce 940MX,Windows,10,1.3,0,256,0,0,16.177133697182004
MSI,GP62M 7REX,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1050 Ti,Windows,10,2.2,1,256,0,0,16.262257291754686
Lenovo,Thinkpad T470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,Intel HD Graphics 620,Windows,10,1.58,0,256,0,0,16.392704641842247
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16.0,Nvidia GeForce MX150,Windows,10,1.5,1,256,0,0,16.233360318185245
Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8.0,Intel Iris Plus Graphics 640,Windows,10,1.23,0,256,0,0,16.32202115287739
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,Windows,10,1.37,0,256,0,0,16.33642024974957
HP,Probook 440,Notebook,14.0,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,4.0,Intel UHD Graphics 620,Windows,10,1.63,500,0,0,0,15.674932413976913
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,1.21,0,256,0,0,16.488628883686133
HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,1.26,0,256,0,0,16.33641310176119
HP,Probook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows,10,1.63,0,512,0,0,16.081320457083677
Dell,Inspiron 7570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Nvidia GeForce 940MX,Windows,10,2.16,1,256,0,0,16.12317217955467
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,Nvidia GeForce 920MX,Windows,10,2.0,1,0,0,0,15.427961526582147
Asus,VivoBook S15,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Nvidia GeForce 940MX,Windows,10,1.7,0,256,0,0,16.112203928799133
Acer,Spin 3,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,6.0,Intel HD Graphics 620,Windows,10,2.1,1,0,0,0,15.264607872495002
MSI,GS63VR 7RG,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1070,Windows,10,1.8,2,256,0,0,16.807807838679583
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,Nvidia GeForce 940MX,No OS,10,2.2,0,256,0,0,15.537038531784528
HP,Probook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16.0,Nvidia GeForce 930MX ,Windows,10,2.5,0,512,0,0,16.24046654627354
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4.0,AMD Radeon R5,Windows,10,2.1,0,256,0,0,15.204374614586765
HP,250 G6,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4.0,Intel HD Graphics 400,No OS,10,1.86,500,0,0,0,14.649735336783625
HP,Probook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,1.63,1,0,0,0,15.792407615245764
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,1366x768,AMD E-Series 6110 1.5GHz,4.0,AMD Radeon R2,Windows,10 S,1.65,0,64,0,0,14.720492416904722
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16.0,AMD Radeon 530,Windows,10,2.8,2,256,0,0,16.334273558406405
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,2.5,0,256,0,0,15.925939007870287
Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8.0,AMD Radeon R7 M445,Windows,10,2.36,1,0,0,0,15.5527960798869
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,AMD Radeon R5 M430,Windows,10,2.2,1,0,0,0,15.199930162826341
Acer,Swift 3,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows,10,1.6,0,256,0,0,15.877364337721732
Acer,Aspire A515-51G-37JS,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4.0,Nvidia GeForce MX130,Windows,10,2.2,0,256,0,0,15.442046266463885
HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,8.0,Intel HD Graphics 620,Windows,10,2.05,1,0,0,0,15.486498029034719
HP,Probook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows,10,1.63,0,256,0,0,15.988589972831955
Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4.0,Intel HD Graphics 500,No OS,10,1.9,1,0,0,0,14.623763914586696
Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8.0,Nvidia GeForce GTX 1050,Windows,10,3.0,1,128,0,0,15.936657224090311
